time,pm_1,pm_25,pm_10,pm_4
2024-05-24 20:33:29,399,558,650,422
2024-05-24 20:33:32,405,560,658,429
2024-05-24 20:33:34,433,578,707,458
2024-05-24 20:33:37,443,608,698,468
2024-05-24 20:33:39,448,595,691,473
2024-05-24 20:33:41,451,620,719,477
2024-05-24 20:33:44,453,591,693,479
2024-05-24 20:33:46,443,610,700,469
2024-05-24 20:33:49,436,606,690,462
2024-05-24 20:33:51,429,598,673,454
2024-05-24 20:33:53,419,566,679,443
2024-05-24 20:33:56,418,562,675,442
2024-05-24 20:33:58,417,555,667,441
2024-05-24 20:34:01,419,567,680,443
2024-05-24 20:34:03,421,586,652,445
2024-05-24 20:34:05,439,575,711,464
2024-05-24 20:34:08,452,627,727,478
2024-05-24 20:34:10,466,593,710,493
2024-05-24 20:34:13,467,597,714,494
2024-05-24 20:34:15,466,640,706,493
2024-05-24 20:34:17,469,618,738,496
2024-05-24 20:34:20,472,635,707,499
2024-05-24 20:34:22,467,599,716,494
2024-05-24 20:34:25,460,590,699,486
2024-05-24 20:34:27,443,611,702,469
2024-05-24 20:34:29,434,589,669,459
2024-05-24 20:34:32,427,585,659,452
2024-05-24 20:34:34,425,563,683,449
2024-05-24 20:34:37,424,557,676,448
2024-05-24 20:34:39,415,589,649,439
2024-05-24 20:34:41,407,575,675,431
2024-05-24 20:34:44,404,548,645,427
2024-05-24 20:34:46,402,530,625,425
2024-05-24 20:34:49,404,551,649,427
2024-05-24 20:34:51,405,557,655,428
2024-05-24 20:34:53,405,558,656,428
2024-05-24 20:34:56,405,556,655,428
2024-05-24 20:34:58,401,573,667,424
2024-05-24 20:35:01,401,528,672,424
2024-05-24 20:35:03,410,549,653,434
2024-05-24 20:35:05,411,557,662,435
2024-05-24 20:35:10,413,571,679,437
2024-05-24 20:35:13,418,563,676,442
2024-05-24 20:35:15,421,581,647,445
2024-05-24 20:35:17,423,553,672,448
2024-05-24 20:35:20,427,581,653,451
2024-05-24 20:35:22,428,592,666,453
2024-05-24 20:35:25,425,567,688,450
2024-05-24 20:35:27,426,575,696,451
2024-05-24 20:35:29,431,561,688,455
2024-05-24 20:35:32,435,598,681,460
2024-05-24 20:35:34,435,592,673,460
2024-05-24 20:35:37,429,594,669,453
2024-05-24 20:35:39,419,572,686,444
2024-05-24 20:35:41,412,563,669,436
2024-05-24 20:35:44,401,530,674,425
2024-05-24 20:35:46,393,566,651,416
2024-05-24 20:35:49,389,534,615,412
2024-05-24 20:35:51,378,548,617,400
2024-05-24 20:35:53,372,497,609,393
2024-05-24 20:35:56,371,537,598,392
2024-05-24 20:35:58,379,549,618,400
2024-05-24 20:36:01,386,556,633,408
2024-05-24 20:36:03,392,558,643,415
2024-05-24 20:36:05,402,536,631,425
2024-05-24 20:36:08,405,561,660,429
2024-05-24 20:36:10,409,540,643,433
2024-05-24 20:36:13,413,567,674,436
2024-05-24 20:36:15,411,559,665,435
2024-05-24 20:36:17,407,573,673,430
2024-05-24 20:36:20,397,544,633,420
2024-05-24 20:36:22,388,520,649,410
2024-05-24 20:36:25,380,511,632,402
2024-05-24 20:36:27,379,503,622,401
2024-05-24 20:36:29,380,509,629,402
2024-05-24 20:36:32,387,518,647,410
2024-05-24 20:36:34,390,536,617,412
2024-05-24 20:36:37,398,554,645,421
2024-05-24 20:36:39,406,563,662,429
2024-05-24 20:36:41,405,560,658,429
2024-05-24 20:36:44,402,536,631,425
2024-05-24 20:36:46,397,544,634,420
2024-05-24 20:36:49,391,550,633,414
2024-05-24 20:36:51,386,556,633,408
2024-05-24 20:36:53,382,524,647,404
2024-05-24 20:36:56,367,506,612,388
2024-05-24 20:36:58,363,527,630,384
2024-05-24 20:37:01,356,520,614,376
2024-05-24 20:37:03,352,488,577,372
2024-05-24 20:37:05,349,519,606,370
2024-05-24 20:37:08,351,477,615,371
2024-05-24 20:37:10,356,522,617,377
2024-05-24 20:37:13,373,502,615,394
2024-05-24 20:37:15,382,530,653,404
2024-05-24 20:37:17,391,551,634,414
2024-05-24 20:37:20,395,529,667,418
2024-05-24 20:37:22,400,566,658,423
2024-05-24 20:37:25,404,548,645,427
2024-05-24 20:37:27,407,576,677,431
2024-05-24 20:37:29,415,589,649,439
2024-05-24 20:37:32,415,584,644,439
2024-05-24 20:37:34,415,586,645,439
2024-05-24 20:37:37,425,568,689,450
2024-05-24 20:37:39,436,607,690,462
2024-05-24 20:37:41,450,611,709,475
2024-05-24 20:37:44,465,629,693,491
2024-05-24 20:37:46,482,620,754,510
2024-05-24 20:37:49,504,638,746,533
2024-05-24 20:37:51,506,658,768,535
2024-05-24 20:37:53,511,650,766,541
2024-05-24 20:37:56,516,683,754,545
2024-05-24 20:37:58,516,687,758,546
2024-05-24 20:38:01,517,690,762,546
2024-05-24 20:38:03,522,683,761,552
2024-05-24 20:38:05,526,662,793,556
2024-05-24 20:38:08,528,681,765,558
2024-05-24 20:38:10,526,665,797,556
2024-05-24 20:38:13,511,650,767,541
2024-05-24 20:38:15,504,638,745,532
2024-05-24 20:38:17,495,667,764,523
2024-05-24 20:38:20,493,657,753,522
2024-05-24 20:38:22,494,660,757,522
2024-05-24 20:38:25,491,641,735,520
2024-05-24 20:38:27,488,663,753,516
2024-05-24 20:38:29,496,627,726,524
2024-05-24 20:38:32,496,630,729,525
2024-05-24 20:38:34,500,658,761,528
2024-05-24 20:38:37,497,634,734,525
2024-05-24 20:38:39,489,625,766,517
2024-05-24 20:38:41,478,637,716,506
2024-05-24 20:38:44,472,637,709,499
2024-05-24 20:38:46,461,602,712,488
2024-05-24 20:38:49,461,598,708,487
2024-05-24 20:38:53,464,622,736,490
2024-05-24 20:38:56,461,602,713,488
2024-05-24 20:38:58,452,581,681,478
2024-05-24 20:39:01,448,597,693,474
2024-05-24 20:39:03,448,595,690,473
2024-05-24 20:39:05,449,604,700,474
2024-05-24 20:39:08,446,586,680,472
2024-05-24 20:39:10,452,579,679,478
2024-05-24 20:39:13,462,606,717,488
2024-05-24 20:39:15,462,612,724,489
2024-05-24 20:39:17,468,606,724,495
2024-05-24 20:39:20,470,618,738,497
2024-05-24 20:39:22,479,641,721,506
2024-05-24 20:39:25,483,626,711,511
2024-05-24 20:39:27,498,641,742,526
2024-05-24 20:39:29,510,689,753,539
2024-05-24 20:39:32,524,698,778,554
2024-05-24 20:39:34,540,676,774,571
2024-05-24 20:39:37,542,692,792,573
2024-05-24 20:39:39,551,712,821,582
2024-05-24 20:39:41,555,698,813,587
2024-05-24 20:39:44,554,736,799,586
2024-05-24 20:39:46,549,698,806,581
2024-05-24 20:39:49,551,711,821,582
2024-05-24 20:39:51,556,706,822,588
2024-05-24 20:39:53,563,706,829,595
2024-05-24 20:39:56,575,753,839,608
2024-05-24 20:39:58,579,738,829,613
2024-05-24 20:40:01,575,754,841,608
2024-05-24 20:40:03,574,744,829,607
2024-05-24 20:40:05,573,738,823,606
2024-05-24 20:40:08,575,750,836,608
2024-05-24 20:40:10,568,746,824,600
2024-05-24 20:40:13,565,721,846,597
2024-05-24 20:40:15,554,686,800,586
2024-05-24 20:40:17,546,720,824,577
2024-05-24 20:40:20,538,711,806,569
2024-05-24 20:40:22,519,660,784,549
2024-05-24 20:40:25,516,685,756,545
2024-05-24 20:40:27,508,675,738,538
2024-05-24 20:40:29,505,650,759,534
2024-05-24 20:40:32,508,673,785,537
2024-05-24 20:40:34,511,646,761,540
2024-05-24 20:40:37,511,646,762,540
2024-05-24 20:40:39,506,661,771,536
2024-05-24 20:40:41,501,665,769,529
2024-05-24 20:40:44,493,658,754,522
2024-05-24 20:40:46,488,662,752,516
2024-05-24 20:40:49,478,636,715,506
2024-05-24 20:40:51,479,640,720,506
2024-05-24 20:40:53,486,646,733,514
2024-05-24 20:40:56,489,621,762,517
2024-05-24 20:40:58,487,655,744,515
2024-05-24 20:41:01,480,648,729,507
2024-05-24 20:41:03,470,623,743,497
2024-05-24 20:41:05,467,596,713,494
2024-05-24 20:41:08,468,605,723,495
2024-05-24 20:41:10,469,614,733,496
2024-05-24 20:41:12,474,650,725,501
2024-05-24 20:41:15,483,628,714,511
2024-05-24 20:41:17,484,636,722,512
2024-05-24 20:41:20,478,632,710,505
2024-05-24 20:41:22,468,604,721,495
2024-05-24 20:41:24,459,633,691,485
2024-05-24 20:41:27,462,607,718,488
2024-05-24 20:41:29,466,593,710,493
2024-05-24 20:41:32,468,603,721,495
2024-05-24 20:41:34,468,604,722,495
2024-05-24 20:41:36,472,641,714,500
2024-05-24 20:41:41,463,616,728,489
2024-05-24 20:41:44,443,612,703,469
2024-05-24 20:41:46,435,598,680,460
2024-05-24 20:41:48,434,588,668,459
2024-05-24 20:41:51,426,575,696,451
2024-05-24 20:41:53,427,585,658,452
2024-05-24 20:41:56,430,559,685,455
2024-05-24 20:42:00,428,590,663,453
2024-05-24 20:42:03,424,556,675,448
2024-05-24 20:42:05,419,573,687,444
2024-05-24 20:42:08,408,579,680,431
2024-05-24 20:42:10,399,559,651,422
2024-05-24 20:42:12,396,536,625,419
2024-05-24 20:42:15,401,573,666,424
2024-05-24 20:42:17,409,537,640,432
2024-05-24 20:42:20,416,547,658,440
2024-05-24 20:42:22,415,588,647,439
2024-05-24 20:42:24,410,552,656,434
2024-05-24 20:42:27,408,581,633,431
2024-05-24 20:42:29,409,537,639,432
2024-05-24 20:42:32,407,575,676,431
2024-05-24 20:42:34,400,568,661,423
2024-05-24 20:42:36,387,512,641,409
2024-05-24 20:42:39,390,543,625,413
2024-05-24 20:42:41,393,560,645,415
2024-05-24 20:42:44,395,528,666,418
2024-05-24 20:42:46,404,549,646,427
2024-05-24 20:42:48,414,582,640,438
2024-05-24 20:42:51,419,568,682,443
2024-05-24 20:42:53,420,578,693,444
2024-05-24 20:42:56,413,571,679,437
2024-05-24 20:42:58,413,574,682,437
2024-05-24 20:43:00,421,586,652,445
2024-05-24 20:43:03,430,558,684,455
2024-05-24 20:43:05,434,588,669,459
2024-05-24 20:43:08,433,578,707,458
2024-05-24 20:43:10,434,591,672,459
2024-05-24 20:43:12,432,569,697,456
2024-05-24 20:43:15,438,568,703,463
2024-05-24 20:43:17,443,608,699,468
2024-05-24 20:43:20,435,592,673,460
2024-05-24 20:43:22,424,557,676,448
2024-05-24 20:43:24,408,531,633,431
2024-05-24 20:43:27,394,525,661,417
2024-05-24 20:43:29,380,513,634,402
2024-05-24 20:43:32,374,514,628,396
2024-05-24 20:43:34,371,538,599,392
2024-05-24 20:43:36,368,512,619,389
2024-05-24 20:43:39,369,523,632,390
2024-05-24 20:43:41,373,507,620,395
2024-05-24 20:43:44,379,506,626,401
2024-05-24 20:43:46,396,539,628,419
2024-05-24 20:43:48,409,542,645,433
2024-05-24 20:43:51,423,551,670,447
2024-05-24 20:43:53,432,573,701,457
2024-05-24 20:43:56,431,566,694,456
2024-05-24 20:43:58,431,568,695,456
2024-05-24 20:44:00,429,601,677,454
2024-05-24 20:44:03,427,578,701,451
2024-05-24 20:44:05,424,560,679,449
2024-05-24 20:44:08,423,550,669,447
2024-05-24 20:44:10,415,586,646,439
2024-05-24 20:44:12,405,560,659,429
2024-05-24 20:44:15,390,535,617,412
2024-05-24 20:44:17,362,519,620,383
2024-05-24 20:44:20,355,510,603,375
2024-05-24 20:44:22,351,479,617,371
2024-05-24 20:44:24,350,476,614,371
2024-05-24 20:44:27,347,500,585,367
2024-05-24 20:44:29,343,466,595,363
2024-05-24 20:44:32,344,472,603,363
2024-05-24 20:44:34,352,490,580,372
2024-05-24 20:44:36,358,485,581,378
2024-05-24 20:44:39,365,492,596,386
2024-05-24 20:44:41,371,538,598,392
2024-05-24 20:44:44,378,541,610,399
2024-05-24 20:44:46,384,540,615,406
2024-05-24 20:44:48,389,535,616,412
2024-05-24 20:44:51,397,542,631,419
2024-05-24 20:44:53,395,527,665,418
2024-05-24 20:44:56,397,546,636,420
2024-05-24 20:44:58,402,536,632,425
2024-05-24 20:45:00,403,543,640,426
2024-05-24 20:45:03,396,541,630,419
2024-05-24 20:45:05,386,509,636,408
2024-05-24 20:45:08,375,523,638,397
2024-05-24 20:45:10,361,509,608,382
2024-05-24 20:45:12,357,480,626,378
2024-05-24 20:45:15,359,492,589,379
2024-05-24 20:45:17,371,541,602,393
2024-05-24 20:45:20,377,533,600,398
2024-05-24 20:45:22,375,519,634,396
2024-05-24 20:45:24,368,519,627,390
2024-05-24 20:45:27,362,514,615,382
2024-05-24 20:45:29,364,533,587,385
2024-05-24 20:45:32,375,520,635,396
2024-05-24 20:45:34,383,530,654,405
2024-05-24 20:45:36,381,519,641,403
2024-05-24 20:45:39,374,514,628,396
2024-05-24 20:45:41,371,538,599,392
2024-05-24 20:45:44,367,509,615,388
2024-05-24 20:45:46,358,488,585,379
2024-05-24 20:45:48,359,491,589,379
2024-05-24 20:45:51,365,489,593,386
