,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
153,889,1914,889_1914,1.2140319265652983,375030,51.51947149634376,-0.1321576014160058,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
154,890,1910,890_1910,2.6309054949592725,375026,51.5195043981075,-0.1320784017443028,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
155,891,1910,891_1910,4.475015743957953,375026,51.5195043981075,-0.1320784017443028,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
156,897,1898,897_1898,3.296685731165359,375014,51.51983549445876,-0.1316382065413782,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
161,898,1897,898_1897,2.547351215764577,375013,51.51972169429069,-0.1318893060087752,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
157,901,1898,901_1898,4.731423745490406,375014,51.51983549445876,-0.1316382065413782,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
158,904,1898,904_1898,4.4877119384523,375014,51.51983549445876,-0.1316382065413782,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
159,905,1898,905_1898,2.564095504248748,375014,51.51983549445876,-0.1316382065413782,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
160,906,1898,906_1898,4.020167919029464,375014,51.51983549445876,-0.1316382065413782,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
162,924,1904,924_1904,3.4781781314895617,375020,51.520250000059605,-0.1306712999939447,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
166,925,1903,925_1903,1.90888360969054,375019,51.52021709829581,-0.1307534053921201,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
167,926,1903,926_1903,0.7330217151514389,375019,51.52021709829581,-0.1307534053921201,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
163,927,1904,927_1904,4.441785940870504,375020,51.520250000059605,-0.1306712999939447,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
168,927,1903,927_1903,2.839128200766107,375019,51.52021709829581,-0.1307534053921201,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
164,928,1904,928_1904,0.9764417591383026,375020,51.520250000059605,-0.1306712999939447,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
165,929,1904,929_1904,2.909603923411793,375020,51.520250000059605,-0.1306712999939447,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
