,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
321,15,219,15_219,14.087245578430116,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
395,15,925,15_925,11.093150700512341,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
305,15,204,15_204,14.401286159507142,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
385,16,236,16_236,11.053586354974811,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
306,16,204,16_204,16.429447955057604,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
322,16,219,16_219,16.87861020775983,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
396,16,925,16_925,8.9759147723679,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
307,17,204,17_204,18.671499362557956,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
386,17,236,17_236,8.874414346251312,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
397,17,925,17_925,7.365084886512723,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
323,17,219,17_219,19.6848379874507,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
387,18,236,18_236,7.979791894769724,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
398,18,925,18_925,8.186304277412997,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
364,19,201,19_201,17.220079207538877,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
399,19,925,19_925,11.148218877763789,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
388,19,236,19_236,9.648576500535565,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
389,20,236,20_236,12.923200948578401,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
400,20,925,20_925,15.034830827532181,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
365,20,201,20_201,12.605627615480628,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
401,21,925,21_925,19.295224348474314,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
366,21,201,21_201,8.109783186216276,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
390,21,236,21_236,16.894360148528666,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
367,22,201,22_201,4.139006946512567,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
368,23,201,23_201,3.6042026098116526,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
369,24,201,24_201,7.303788093266495,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
402,25,223,25_223,17.980889740876076,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
370,25,201,25_201,12.678985325507591,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
403,27,223,27_223,16.433675012630694,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
371,27,201,27_201,14.516103024051196,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
411,28,200,28_200,14.472009343741394,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
433,29,209,29_209,2.8565409457428492,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
412,29,200,29_200,12.389696397012077,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
404,30,223,30_223,10.638726440608274,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
405,31,223,31_223,10.927428469635005,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
406,32,223,32_223,11.498287224065766,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
407,33,223,33_223,12.312117970408345,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
434,33,209,33_209,18.727563112423546,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
408,34,223,34_223,14.072834996120779,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
435,34,209,34_209,17.7371925191317,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
436,35,209,35_209,15.591856384382544,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
409,35,223,35_223,15.371145849809793,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
410,36,223,36_223,18.32792554353794,76742,51.48001039773245,-0.05829830467698,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,11.0,41.0,,20201127,20210218
437,36,209,36_209,11.9425119612242,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
438,37,209,37_209,9.02782725019863,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
439,38,209,38_209,7.729179707401767,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
413,38,200,38_200,19.934658303062847,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
414,39,200,39_200,16.351248828356933,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
440,39,209,39_209,7.655146681684347,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
415,40,200,40_200,13.000020214485465,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
441,40,209,40_209,11.663915357697666,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
442,41,209,41_209,14.202747288983723,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
416,41,200,41_200,12.020829868036035,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
443,42,209,42_209,16.899023274120065,72268,51.48002289980662,-0.0579665005206423,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),12.0,15.0,64.0,,20201127,20210218
417,42,200,42_200,10.048537134477717,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
418,43,200,43_200,10.54626651080251,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
419,44,200,44_200,11.283430680583386,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
420,45,200,45_200,11.351139166246503,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
421,46,200,46_200,12.97921534589158,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
422,47,200,47_200,14.656285177370817,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
423,48,200,48_200,17.155361021376432,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
424,49,200,49_200,19.0711354886873,59293,51.4799479991199,-0.0577824041246737,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,21.0,106.0,,20201127,20210218
462,53,215,53_215,9.009074873554697,72897,51.47971139848232,-0.0570724010467665,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),11.0,15.0,45.0,,20201127,20210218
489,53,379,53_379,17.38133973424489,98013,51.479727193713245,-0.0569421052932535,True,Southwark,Lime,Small-leaved Lime,Tilia cordata,Mature (31-80 ,Veteran(over150),,,417.0,,20201127,20210218
500,53,380,53_380,14.480060732101046,98014,51.47976499795916,-0.0570557042956399,True,Southwark,Lime,Small-leaved Lime,Tilia cordata,Mature (31-80 ,Veteran(over150),,,375.0,,20201127,20210218
475,53,237,53_237,13.355080443370989,82443,51.47967369854459,-0.0569732040166938,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,14.0,39.0,,20201127,20210218
511,53,923,53_923,10.473324439466786,642758,51.479695193469546,-0.05702770501375,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
451,53,129,53_129,16.167569806327716,617097,51.47974299639468,-0.056979499757183,True,Southwark,Lime,,,,Unknown,,,,,20180214,20210218
576,55,377,55_377,15.665534873714165,98011,51.47955779731284,-0.0564884021877608,True,Southwark,Lime,Small-leaved Lime,Tilia cordata,Mature (31-80 ,Veteran(over150),,,367.0,,20201127,20210218
596,55,378,55_378,19.161864342354622,98012,51.47963349521164,-0.0567157045006705,True,Southwark,Lime,Small-leaved Lime,Tilia cordata,Mature (31-80 ,Veteran(over150),,,379.0,,20201127,20210218
546,55,240,55_240,10.577730746677776,83564,51.4795043990017,-0.0565195009111341,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),14.0,15.0,42.0,,20201127,20210218
564,55,243,55_243,16.450420934853174,83621,51.47947459667925,-0.0568952038883653,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,3.5,7.0,,20201127,20210218
