,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
1334,777,314,777_314,11.57701496283027,274636,51.46318669617185,-0.0122663006186177,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1343,777,51,777_51,11.366579259131349,65425,51.46321969479323,-0.0120921060442781,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1238,777,312,777_312,19.812293508893937,274634,51.463285297155366,-0.0122477039693822,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4357,777,260,777_260,17.544366109401007,272772,51.46323549747476,-0.011961907148321,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1301,777,313,777_313,14.56244389667937,274635,51.463231399655385,-0.0122500061987763,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1272,777,48,777_48,13.692909159213533,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4344,777,47,777_47,16.716543333480498,65405,51.46326410025369,-0.0120614022016422,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1317,777,50,777_50,8.744882737502518,65415,51.46318569779407,-0.0122088044881815,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1287,777,49,777_49,15.028324860416282,65408,51.463214099407246,-0.0122939050197033,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4351,777,99,777_99,18.47843989331161,78118,51.46325369924312,-0.0119755044578971,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1273,778,48,778_48,10.214192590134234,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1335,778,314,778_314,9.910601070760974,274636,51.46318669617185,-0.0122663006186177,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4363,778,98,778_98,19.939682861562115,78112,51.46329839527624,-0.0119591057300191,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4358,778,260,778_260,14.806254884719324,272772,51.46323549747476,-0.011961907148321,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4352,778,99,778_99,15.427228129924705,78118,51.46325369924312,-0.0119755044578971,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1344,778,51,778_51,7.674941559149618,65425,51.46321969479323,-0.0120921060442781,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4345,778,47,778_47,13.05548321415658,65405,51.46326410025369,-0.0120614022016422,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
